waveMin,waveMax,spectroFlux_r,spectroSynFlux_r,sn1_r,sn2_r,elodieBV,elodieTEff,elodieLogG,z
3814.17,9217.221,22.61252,22.46301,19.9642,20.5593,0,0,0,1.454275
3601.637,10363.35,3.763443,3.693657,47.8698,47.8271,0,0,0,3.151053
3601.637,10384.84,2.484076,2.364318,31.6586,35.3935,0,0,0,2.16465
3601.637,10368.12,9.001288,9.008474,29.5981,36.1345,0,0,0,2.324285
3601.637,10382.45,3.563828,3.509808,34.0092,36.4899,0,0,0,2.669381
3601.637,10382.45,7.591295,7.241585,34.0092,36.4899,0,0,0,2.348655
3815.927,9223.59,39.18159,39.21158,29.5076,35.6634,0,0,0,0.2605557
3822.962,9202.377,24.51661,24.29923,22.8106,23.7287,0,0,0,2.013801
3601.637,10370.51,27.66692,27.73639,53.2911,53.2363,0,0,0,2.519756
3601.637,10365.73,2.02916,2.053345,28.6705,39.0198,0,0,0,2.139418
3824.723,9215.099,44.3638,43.94429,13.9511,13.3438,0,0,0,0.772505
3601.637,10363.35,25.16656,24.04184,47.8698,47.8271,0,0,0,2.740145
3828.247,9215.099,66.23727,65.87087,29.5076,35.6634,0,0,0,1.52176
3819.443,9202.377,75.27058,75.44217,22.8106,23.7287,0,0,0,1.062762
3601.637,10287.27,5.565105,5.279414,34.1455,41.3857,0,0,0,2.218192
3601.637,10337.13,15.62754,14.58707,36.5558,35.157,0,0,0,2.18923
3819.443,9189.672,13.4581,13.44659,17.7387,19.6849,0,0,0,1.386369
3601.637,10372.9,7.702819,7.472094,53.2911,53.2363,0,0,0,2.166749
3601.637,10363.35,3.021894,2.910503,47.8698,47.8271,0,0,0,2.288775
3810.658,9204.496,6.235583,6.248138,90.106,98.1947,0,0,0,0.8828998
3820.322,9223.59,30.98139,30.99488,29.5076,35.6634,0,0,0,1.302473
3817.684,9202.377,30.04714,30.07901,22.8106,23.7287,0,0,0,2.016079
3601.637,10310.98,1.405198,1.247149,39.7539,37.0467,0,0,0,2.294531
3605.786,10363.35,6.575574,6.569777,37.1703,37.3694,0,0,0,0.7181599
3601.637,10294.38,4.9746,4.876667,29.3924,36.3942,0,0,0,2.282464
3601.637,10358.57,4.384066,4.308025,59.9921,62.4313,0,0,0,2.564997
3601.637,10353.81,5.503101,5.649488,29.4036,31.1984,0,0,0,2.262081
3601.637,10377.67,27.57759,26.69495,43.715,47.0035,0,0,0,2.855966
3601.637,10377.67,11.15802,11.31135,43.715,47.0035,0,0,0,2.406712
3601.637,10377.67,4.929671,4.926058,43.715,47.0035,0,0,0,2.633222
3805.397,9215.099,28.11453,27.96161,22.776,26.3386,0,0,0,1.171927
3817.684,9238.469,15.58767,15.64391,30.8119,18.7228,0,0,0,0.7246754
3601.637,10265.97,1.90019,1.792677,34.3789,34.4887,0,0,0,2.825622
3601.637,10265.97,8.618322,8.198793,34.3789,34.4887,0,0,0,2.831708
3601.637,10270.7,9.941635,9.984901,34.3789,34.4887,0,0,0,0.3572268
3601.637,10337.13,3.259428,3.159998,36.5558,35.157,0,0,0,2.613885
3820.322,9189.672,9.07241,8.734334,17.3798,19.868,0,0,0,2.260195
3808.027,9202.377,12.91067,12.78125,16.3394,18.8858,0,0,0,1.648419
3601.637,10351.42,15.28509,14.33134,59.9921,62.4313,0,0,0,3.355119
3603.296,10365.73,3.350118,3.45827,41.0162,43.3839,0,0,0,2.17143
3603.296,10365.73,91.17556,90.7921,41.0162,43.3839,0,0,0,2.046974
3601.637,10339.51,8.802878,8.510028,34.7255,34.278,0,0,0,0.7041124
3604.956,10353.81,22.26085,21.64533,35.4854,43.3564,0,0,0,0.7682385
3604.956,10358.57,14.89633,14.71858,35.4854,43.3564,0,0,0,2.58373
3601.637,10299.12,5.454548,5.516156,28.4621,33.1935,0,0,0,1.559019
3601.637,10351.42,6.824846,6.418917,59.9921,62.4313,0,0,0,0.6864038
3601.637,10351.42,4.05522,4.018928,59.9921,62.4313,0,0,0,2.27173
3604.956,10358.57,1.55332,1.617811,35.4854,43.3564,0,0,0,2.222136
3601.637,10299.12,9.134268,9.257749,28.4621,33.1935,0,0,0,0.8511101
3601.637,10351.42,4.508531,3.952256,59.9921,62.4313,0,0,0,2.258173
3606.617,10356.19,3.434688,3.408367,38.6302,38.3845,0,0,0,0.9690058
3606.617,10356.19,11.00519,11.05169,38.6302,38.3845,0,0,0,2.294447
3601.637,10387.24,4.514129,4.511086,28.4621,33.1935,0,0,0,0.7702257
3601.637,10365.73,7.459368,7.526059,29.3924,36.3942,0,0,0,2.522021
3801.894,9215.099,18.40831,18.62738,45.8023,39.6392,0,0,0,0.6346951
3601.637,10387.24,5.902868,5.809079,28.4621,33.1935,0,0,0,0.9592904
3601.637,10365.73,12.9337,12.72645,29.3924,36.3942,0,0,0,0.8384033
3606.617,10356.19,5.165105,5.118217,38.6302,38.3845,0,0,0,0.838721
3601.637,10346.66,74.56205,73.67124,35.1324,38.613,0,0,0,1.148501
3601.637,10387.24,11.53643,11.33187,28.4621,33.1935,0,0,0,2.748449
3818.563,9215.099,13.69347,13.57553,22.191,24.9202,0,0,0,2.545435
3819.443,9172.76,21.65724,21.74403,22.191,24.9202,0,0,0,1.014599
3604.126,10353.81,0.7123258,0.7629941,35.4854,43.3564,0,0,0,0.8346908
3808.904,9215.099,17.12081,16.99809,45.8023,39.6392,0,0,0,1.70084
3601.637,10365.73,9.896335,9.93355,29.3924,36.3942,0,0,0,2.444416
3801.019,9206.615,21.21704,21.30965,23.5188,26.5937,0,0,0,0.8140661
3808.904,9215.099,14.83839,14.78517,23.5188,26.5937,0,0,0,0.8299173
