waveMin,waveMax,spectroFlux_r,spectroSynFlux_r,sn1_r,sn2_r,elodieBV,elodieTEff,elodieLogG,z
3808.027,9187.556,30.04993,29.21649,3.14619,3.49919,0,0,0,0.1746349
3804.521,9193.904,5.639084,5.541327,42.4337,42.987,0,0,0,0.1479892
3812.414,9189.672,22.79396,22.63358,41.9402,48.9721,0,0,0,0.03763363
3813.292,9185.44,23.07339,22.98613,44.7934,42.8653,0,0,0,0.1512722
3808.904,9215.099,11.09121,10.92323,38.0297,41.0319,0,0,0,0.1711631
3810.658,9215.099,11.30569,11.27629,38.0297,41.0319,0,0,0,0.05406445
3799.269,9187.556,8.892688,8.949932,24.8251,24.6142,0,0,0,0.1824365
3823.843,9193.904,12.90993,12.77497,53.918,61.7748,0,0,0,0.3067738
3810.658,9215.099,11.66906,12.32199,21.0899,21.2809,0,0,0,0.5401068
3796.645,9200.258,11.35773,11.37658,35.9529,35.4937,0,0,0,0.250142
3811.536,9215.099,8.225972,8.356688,26.1939,24.8323,0,0,0,0.07664988
3811.536,9208.735,24.29471,24.20266,24.4198,24.2752,0,0,0,0.6700212
3801.019,9196.021,9.459234,9.582767,23.4309,24.3002,0,0,0,0.3637326
3812.414,9215.099,12.21405,11.49174,32.7418,33.9583,0,0,0,0.2940927
3814.17,9215.099,14.90437,12.5054,32.7418,33.9583,0,0,0,0.1343791
3813.292,9215.099,22.31696,22.24951,19.186,19.5663,0,0,0,0.1141283
3814.17,9202.377,46.45511,46.50503,17.1196,17.5015,0,0,0,0.1202148
3801.894,9208.735,94.43987,94.1696,18.3153,17.4912,0,0,0,0.06515774
3807.15,9204.496,56.86318,56.06023,17.5298,18.1914,0,0,0,0.1422411
3815.048,9208.735,49.38872,49.17692,24.4198,24.2752,0,0,0,0.1749392
3817.684,9215.099,67.72933,67.43,20.9964,22.5502,0,0,0,0.1229289
3801.894,9198.14,12.45913,12.49014,18.5352,15.6954,0,0,0,0.2924322
3805.397,9189.672,7.547593,5.150468,35.9561,33.9632,0,0,0,0.326119
3805.397,9200.258,28.66982,28.8172,24.0618,21.8747,0,0,0,0.4504653
3825.604,9185.44,36.56912,36.78424,25.2918,25.3333,0,0,0,0.05180819
3794.023,9187.556,55.40958,55.62244,17.8515,19.796,0,0,0,0.1516156
3813.292,9196.021,5.84523,5.818772,26.1154,27.1291,0,0,0,0.3413891
3806.274,9198.14,8.483554,8.227386,26.1154,27.1291,0,0,0,0.1929446
3815.048,9196.021,9.602148,9.384615,26.1154,27.1291,0,0,0,0.4427026
3815.048,9196.021,28.2127,27.7472,26.1154,27.1291,0,0,0,0.2806274
3798.394,9181.212,24.16329,24.16052,23.8856,26.7358,0,0,0,0.2163144
3806.274,9160.096,13.4633,12.90483,14.8806,18.1747,0,0,0,0.2464504
3800.144,9210.856,17.0535,17.01721,23.1549,35.5901,0,0,0,0.07255008
3806.274,9208.735,7.999643,8.037687,21.1831,25.8486,0,0,0,0.2046175
3805.397,9206.615,9.62998,9.504072,21.1831,25.8486,0,0,0,0.2076901
3805.397,9221.467,10.5408,10.19907,24.3052,28.9161,0,0,0,0.2979895
3819.443,9215.099,4.203869,4.087986,27.6985,24.8022,0,0,0,0.3365147
3808.027,9215.099,7.703064,7.592413,16.9502,21.4879,0,0,0,0.3239507
3810.658,9200.258,8.486279,8.310493,21.1831,25.8486,0,0,0,0.334272
3810.658,9202.377,17.55644,17.89579,23.2217,23.0604,0,0,0,0.07211766
3830.011,9191.788,9.841067,10.29419,25.8174,30.9316,0,0,0,0.5369169
3821.202,9155.878,26.64611,26.37592,26.5462,23.6128,0,0,0,0.1461584
3810.658,9206.615,71.84082,71.95918,26.5462,23.6128,0,0,0,0.05725797
3816.805,9204.496,21.85631,22.08302,26.5462,23.6128,0,0,0,0.08353487
3815.048,9183.326,82.08407,81.73416,27.3142,28.5926,0,0,0,0.1433978
3807.15,9215.099,6.225715,3.119401,22.1288,31.3415,0,0,0,0.2970204
3807.15,9215.099,91.13612,90.31599,22.1288,31.3415,0,0,0,0.1842124
3803.645,9215.099,8.857601,8.8785,21.454,29.1737,0,0,0,0.2233699
3799.269,9204.496,12.55212,12.39051,38.9297,38.8147,0,0,0,0.3768767
3799.269,9202.377,12.59351,12.59562,38.9297,38.8147,0,0,0,0.254252
3816.805,9204.496,9.57091,9.270243,18.7893,18.1872,0,0,0,0.1422946
3810.658,9210.856,8.149065,8.132773,20.8371,21.0941,0,0,0,0.129244
3809.781,9206.615,24.54873,24.52699,17.9308,21.6,0,0,0,0.1045011
3804.521,9183.326,18.30306,18.31042,43.0266,44.4125,0,0,0,0.1760621
3804.521,9200.258,37.91499,37.99762,44.4534,45.2491,0,0,0,0.0874831
3799.269,9191.788,9.850135,9.290659,24.8251,24.6142,0,0,0,0.3035654
3823.843,9215.099,28.99528,29.14573,18.6272,20.302,0,0,0,0.09725707
3796.645,9181.212,5.11808,4.941003,28.358,28.9503,0,0,0,0.4267039
3804.521,9185.44,6.695859,6.491145,15.4157,14.1022,0,0,0,0.3958879
3799.269,9189.672,7.65699,7.585495,26.2981,32.1345,0,0,0,0.1368159
3793.15,9183.326,63.82266,63.62794,16.3632,20.6383,0,0,0,0.07841185
3814.17,9181.212,7.885202,7.636899,25.239,23.9109,0,0,0,0.39593
3804.521,8594.092,10.3678,10.48064,15.4157,14.1022,0,0,0,0.4308391
3806.274,9210.856,10.66892,10.5419,49.0937,49.987,0,0,0,0.1671055
3805.397,9212.978,3.679826,3.586498,21.4141,24.712,0,0,0,0.6453526
3810.658,9187.556,68.58372,68.27551,23.8706,24.5531,0,0,0,0.2332289
3810.658,9187.556,98.92877,99.09144,23.8706,24.5531,0,0,0,0.09613567
3814.17,9215.099,44.54357,44.46164,24.6596,23.9398,0,0,0,0.1989255
3812.414,9202.377,27.64072,27.18152,32.525,32.1823,0,0,0,0.1935314
3808.904,9204.496,17.6546,17.52749,32.525,32.1823,0,0,0,0.07940402
3802.77,9236.342,21.51335,21.23824,33.5409,38.5555,0,0,0,0.1557211
3809.781,9212.978,5.269059,5.170544,21.9231,29.2235,0,0,0,0.521432
3806.274,9217.221,64.46014,64.77859,21.9231,29.2235,0,0,0,0.07235259
3801.894,8990.834,29.53537,28.48589,19.7099,24.1739,0,0,0,0.1896864
3830.893,9215.099,47.69894,47.81396,44.2363,43.3427,0,0,0,0.09285298
3830.011,9212.978,16.53834,16.52716,25.7215,28.3703,0,0,0,0.7115177
3815.048,9204.496,89.24963,89.36738,36.9601,24.8821,0,0,0,0.128441
3815.927,9225.714,40.91383,41.04059,22.5329,17.8883,0,0,0,0.2240257
3820.322,9215.099,1.774942,1.701211,18.9374,23.312,0,0,0,0.5759829
3828.247,9215.099,14.49765,14.1951,44.2363,43.3427,0,0,0,0.2068824
3814.17,9215.099,32.71543,30.56989,30.6808,29.3091,0,0,0,0.2491209
3822.962,9198.14,9.438996,9.362997,27.0523,25.4867,0,0,0,0.4577697
3805.397,9215.099,27.7351,26.97312,24.3304,23.5574,0,0,0,0.3532823
3808.904,9189.672,16.11613,16.02365,26.0268,26.7992,0,0,0,0.2707568
3806.274,9189.672,23.42373,23.20808,26.0268,26.7992,0,0,0,0.3287473
3807.15,9202.377,51.27512,51.19659,18.0035,18.5772,0,0,0,0.1568489
3807.15,9215.099,21.70513,21.76112,25.3711,23.8847,0,0,0,0.4148652
3806.274,9189.672,20.1825,19.99754,19.3778,22.3188,0,0,0,0.124647
3819.443,9185.44,48.28533,48.0297,22.9203,28.0533,0,0,0,0.111639
3809.781,9215.099,5.493797,5.447756,28.7947,39.1798,0,0,0,0.4468293
3812.414,9185.44,55.87014,55.70915,22.9203,28.0533,0,0,0,0.1499002
3809.781,9187.556,7.652923,7.489254,12.9243,16.2774,0,0,0,0.3716265
3822.082,9185.44,45.33852,45.31692,32.5493,37.1563,0,0,0,0.09222649
3809.781,9215.099,9.258327,8.751312,17.1511,21.4533,0,0,0,0.2904264
3816.805,9204.496,50.22868,50.2463,20.8108,18.9419,0,0,0,0.1013277
3805.397,9212.978,23.89352,23.95644,11.8333,13.9274,0,0,0,0.1391166
3825.604,9185.44,29.79446,29.67808,32.5493,37.1563,0,0,0,0.2002823
3820.322,9187.556,6.402379,6.376043,23.0597,27.1781,0,0,0,0.3832514
3818.563,9185.44,83.57532,83.11327,32.5493,37.1563,0,0,0,0.1517452
3812.414,9198.14,39.67817,39.6797,22.3345,19.5553,0,0,0,0.1218135
3812.414,9208.735,21.65341,21.46055,23.0597,27.1781,0,0,0,0.1052978
3803.645,9198.14,23.84007,23.90605,32.8025,39.7231,0,0,0,0.2279623
3807.15,9196.021,47.02706,47.02151,29.6058,23.5626,0,0,0,0.1197917
3803.645,9210.856,15.37585,15.11268,28.4519,29.1788,0,0,0,0.1908099
3812.414,9210.856,8.693983,8.569239,26.1154,27.1291,0,0,0,0.3231361
3808.027,9185.44,50.14274,49.80399,21.4586,21.9352,0,0,0,0.1203519
3813.292,9187.556,1.485735,1.414559,33.8793,39.8395,0,0,0,0.6917715
3805.397,9206.615,12.42723,12.46291,24.3576,18.8664,0,0,0,0.1378372
3811.536,9215.099,17.16721,17.26992,37.1857,43.2205,0,0,0,0.2068944
3824.723,9204.496,15.25138,13.02067,27.1818,24.2563,0,0,0,0.1889201
3801.019,9200.258,26.49098,26.21937,30.0514,36.9977,0,0,0,0.1264179
3822.082,9215.099,65.57932,65.82901,18.3729,14.9456,0,0,0,0.07245089
3804.521,9208.735,24.93938,24.13142,24.0887,20.2547,0,0,0,0.2063739
3812.414,9200.258,67.29813,67.05072,20.7142,18.6155,0,0,0,0.08546893
3819.443,9200.258,28.35865,26.61339,20.7142,18.6155,0,0,0,0.09956744
3820.322,9200.258,69.26371,69.27645,20.7142,18.6155,0,0,0,0.09559883
3815.927,9215.099,71.79655,69.80872,23.4052,21.328,0,0,0,0.1296656
3800.144,9206.615,26.2574,25.74293,21.8263,22.219,0,0,0,0.2951956
3808.904,9215.099,36.40395,33.80975,16.8411,19.1593,0,0,0,0.18447
3804.521,9210.856,116.3751,116.0252,19.69,17.7995,0,0,0,0.05833662
3819.443,9215.099,9.589488,9.615715,22.4107,20.9609,0,0,0,0.3822662
3802.77,9204.496,1.945326,1.877368,30.6176,36.6159,0,0,0,0.4859802
3799.269,9202.377,20.06809,18.13021,21.6754,18.9371,0,0,0,0.190528
3796.645,9204.496,21.84495,21.80739,21.2092,25.9596,0,0,0,0.08637238
3814.17,9196.021,11.06858,10.62415,30.6451,33.327,0,0,0,0.4913518
3814.17,9198.14,108.5574,108.8103,16.0246,24.2227,0,0,0,0.07387407
3808.904,9187.556,6.729789,6.460117,19.5064,26.784,0,0,0,0.02546327
3804.521,9202.377,6.682017,6.528548,14.8806,18.1747,0,0,0,0.3830225
3800.144,9204.496,7.157797,7.0825,22.2857,23.3468,0,0,0,0.3390229
3816.805,9185.44,11.05386,10.76179,19.2762,21.5797,0,0,0,0.4180077
3802.77,9196.021,42.60317,42.54392,25.46,21.4101,0,0,0,0.2139331
3800.144,9204.496,8.292974,8.217958,22.2857,23.3468,0,0,0,0.363378
3818.563,9204.496,10.05815,10.01063,24.7649,32.4642,0,0,0,0.1226547
3809.781,9204.496,18.23493,16.88329,23.9627,25.0252,0,0,0,0.2714017
3808.904,9204.496,15.44261,15.62854,23.9627,25.0252,0,0,0,0.2639563
3805.397,9215.099,19.95545,18.78708,24.3576,18.8664,0,0,0,0.1678878
3806.274,9215.099,8.558577,8.245862,22.6217,27.4439,0,0,0,0.231959
3810.658,9215.099,22.68039,22.37053,24.2866,26.268,0,0,0,0.1460172
3801.894,9183.326,44.88555,45.24709,18.2105,16.3516,0,0,0,0.1364589
3794.897,9204.496,75.17529,75.21975,23.2845,24.2571,0,0,0,0.04250221
3805.397,9210.856,23.94381,23.77526,24.9351,26.9046,0,0,0,0.03942181
3788.785,9149.556,50.01358,49.83439,23.0687,22.3804,0,0,0,0.3612635
3820.322,9200.258,4.12913,4.1483,17.8151,16.8122,0,0,0,0.3977851
