waveMin,waveMax,spectroFlux_r,spectroSynFlux_r,sn1_r,sn2_r,elodieBV,elodieTEff,elodieLogG,z
3601.637,10358.57,7.5043,7.363784,38.2037,47.0793,1.633,3714,1.49,0.0001049584
3601.637,10380.06,6.114447,6.037076,47.034,45.6213,-0.199,9899,2.924,2.666572E-05
3601.637,10365.73,8.580936,8.44457,42.5495,49.2993,0.18,6537,2.497,6.262806E-06
3601.637,10294.38,3.615274,3.592757,41.072,44.9956,1.381,4066,1.43,0.0001074505
3601.637,10360.96,7.216899,6.978601,43.4,36.1654,1.323,4547,1.93,0.0002918335
3601.637,10299.12,6.123905,5.895862,40.9034,49.9197,0.647,4949,1.32,0.0002401007
3816.805,9176.984,459.5898,462.5351,46.8168,60.7292,0.983,4576,4.414,1.415908E-05
3817.684,9179.098,33.32473,33.08044,46.8168,60.7292,0,6500,4,0.0006737755
3809.781,9179.098,375.9848,378.7882,46.8168,60.7292,0,8500,4,0.001128676
3809.781,9179.098,86.451,86.18043,46.8168,60.7292,0.754,5047,4.59,0.0002326176
3810.658,9179.098,19.85867,20.14667,46.8168,60.7292,0,7500,4,2.038391E-06
3810.658,9176.984,290.2103,290.6104,46.8168,60.7292,0.709,5073,2.51,0.0006974409
3810.658,9179.098,287.6467,288.5824,46.8168,60.7292,1.038,4528,4.251,5.783817E-05
3601.637,10299.12,3.658046,3.650051,40.9034,49.9197,0.18,6537,2.497,0.0002749636
3601.637,10254.16,5.645915,5.427113,46.4106,54.2985,1.323,4547,1.93,0.0006434329
3601.637,10280.16,2.984667,2.972763,53.2911,53.2363,0.895,5063,2.65,0.0009736987
3815.927,9212.978,63.21043,63.42773,23.6922,25.0971,0.95,4775,4.409,0.000163849
3822.962,9212.978,48.76535,48.55385,23.6922,25.0971,0.692,5285,4.62,0.0001069883
3822.962,9212.978,22.05677,21.95647,23.6922,25.0971,0.486,5790,3.7,0.0009303163
3815.048,9212.978,8.251868,8.253788,23.6922,25.0971,0.727,5301,4.34,3.02752E-05
3815.048,9212.978,14.43847,14.41265,23.6922,25.0971,0.613,5324,4.47,0.0002285227
3601.637,10375.28,7.184393,7.070199,28.7186,33.3285,1.323,4547,1.93,0.0007148948
3601.637,10375.28,4.065608,4.082271,28.7186,33.3285,0.895,5063,2.65,0.00111169
3601.637,10375.28,3.019888,2.966528,28.7186,33.3285,1.363,3900,4.232,0.0001697273
3601.637,10384.84,5.887118,5.780485,51.2915,48.2148,1.299,4395,2.11,0.0006726453
3808.027,9210.856,203.9704,202.9328,152.741,142.486,0.692,5285,4.62,7.946701E-05
3808.027,9208.735,236.5673,238.1387,152.741,142.486,0.819,5169,4.43,4.620953E-05
3601.637,10358.57,6.492804,6.357895,40.8834,39.1649,0.588,5820,4.37,0.0003280088
3818.563,9212.978,46.81102,46.77206,23.6922,25.0971,0.754,5047,4.59,0.0006552911
3817.684,9212.978,24.08496,24.0808,23.6922,25.0971,0.378,6061,3.58,0.0004644706
3819.443,9212.978,26.76646,26.47949,23.6922,25.0971,0.813,5190,2.7,0.0002621276
3816.805,9212.978,12.82713,12.74041,23.6922,25.0971,0.645,5467,4.68,0.0003712256
3823.843,9212.978,37.92725,37.7019,23.6922,25.0971,0.704,5320,4.49,3.329343E-05
3601.637,10375.28,4.006527,3.994067,28.7186,33.3285,0.895,5063,2.65,0.0009969117
3601.637,10353.81,4.030315,4.015982,40.9034,49.9197,1.173,4662,2.05,0.001160327
3601.637,10384.84,5.891804,5.46622,51.2915,48.2148,-0.199,9899,2.924,0.0004126163
3808.027,9210.856,363.5045,363.1963,152.741,142.486,0.603,5474,4.16,2.21199E-05
3815.927,9219.344,439.3379,437.0307,133.228,160.776,0.935,4671,2.46,1.243066E-05
3807.15,9215.099,35.85126,35.72087,19.6971,22.0525,0,9000,4,0.0001037468
3601.637,10360.96,10.0419,9.86839,43.4,36.1654,-0.199,9899,2.924,8.743394E-05
3815.927,9212.978,36.40242,36.07208,23.6922,25.0971,0.564,5651,4.42,0.0008507467
3824.723,9212.978,17.65863,17.50585,23.6922,25.0971,0.754,5047,4.59,0.0003520963
3824.723,9210.856,15.71829,15.50383,23.6922,25.0971,0.757,5261,4.394,0.0002836718
3816.805,9212.978,13.40884,13.25079,23.6922,25.0971,0.645,5476,4.357,0.0003980356
3601.637,10349.04,25.56877,25.53111,35.4012,47.4471,0.18,6537,2.497,0.0001061448
3601.637,10294.38,5.365179,5.280947,41.072,44.9956,1.538,3922,1.21,0.001312404
3793.15,9196.021,132.089,133.0641,91.5073,108.852,1.491,3980,4.958,8.687221E-05
3797.519,9191.788,67.89829,67.87604,70.5337,79.3554,1.354,3962,4.5,0.0001807227
3797.519,9191.788,223.9915,221.2362,70.5337,79.3554,1.371,3890,4.5,2.027105E-05
3791.403,9193.904,24.24843,24.15121,38.0726,50.7698,1.41,3858,4.165,6.811359E-05
3794.023,9198.14,1289.496,1277.929,91.5073,108.852,0.786,5221,4.5,1.44347E-05
3794.897,9200.258,28.25873,28.08982,38.0726,50.7698,0.704,5320,4.49,0.0001172002
